district,crop,season,temperature,humidity,rainfall,demand,supply,price_per_kg
Virudhunagar,Cabbage,Normal,32.6,64,21.0,642,606,21.23
Thoothukudi,Banana,Light Rain,27.7,70,68.6,806,882,23.55
Madurai,Drumstick,Light Rain,28.0,78,59.0,416,464,42.94
Kanchipuram,Onion,Summer,35.8,56,7.9,879,594,46.55
Cuddalore,Rice,Light Rain,24.0,70,60.9,1019,1054,43.69
Namakkal,Coconut,Rainy,26.2,91,182.2,764,983,12.05
Pudukottai,Tapioca,Rainy,28.8,89,198.6,464,768,9.64
Tiruvannamalai,Onion,Summer,40.0,61,13.3,823,682,44.39
Thanjavur,Tomato,Light Rain,25.3,79,57.8,725,718,22.99
Madurai,Okra,Light Rain,27.3,77,69.1,541,479,27.51
Dharmapuri,Okra,Summer,40.0,56,2.5,568,400,40.9
Virudhunagar,Banana,Light Rain,26.7,72,67.2,778,899,25.01
Tiruppur,Okra,Summer,36.1,58,0.0,626,472,37.98
Krishnagiri,Potato,Light Rain,29.1,80,57.6,692,692,28.46
Pudukottai,Onion,Rainy,26.0,87,189.8,602,789,23.86
Sivaganga,Beans,Light Rain,27.2,74,69.0,514,604,31.09
Villupuram,Bitter Gourd,Rainy,27.5,86,184.8,307,386,24.23
Erode,Onion,Normal,30.4,61,36.6,733,799,33.85
Kanchipuram,Bitter Gourd,Summer,35.5,54,0.0,380,261,41.55
Namakkal,Okra,Normal,30.4,65,23.0,514,418,29.71
Pudukottai,Rice,Normal,29.9,69,26.9,1049,919,47.56
Tiruppur,Okra,Rainy,28.2,84,185.7,461,607,22.41
Dharmapuri,Banana,Summer,39.3,61,9.7,847,750,35.76
Pudukottai,Onion,Summer,37.0,58,8.7,905,552,44.46
Vellore,Cauliflower,Summer,35.2,58,0.0,545,479,39.0
Ramanathapuram,Tapioca,Summer,37.5,56,3.4,732,491,18.71
Dharmapuri,Beans,Summer,40.3,55,10.7,578,513,48.56
Kanchipuram,Tapioca,Summer,37.8,55,0.0,618,466,17.92
Thiruvarur,Banana,Rainy,25.5,84,184.2,649,983,20.2
Erode,Rice,Light Rain,27.0,78,54.3,1001,1098,39.27
Thiruvarur,Okra,Summer,33.5,56,8.9,488,453,35.64
Kanchipuram,Rice,Normal,31.8,69,21.5,945,905,46.88
Tirunelveli,Ash Gourd,Rainy,30.7,91,186.4,331,318,12.82
Nagapattinam,Tomato,Summer,36.8,53,3.7,913,633,32.51
Dindigul,Tomato,Summer,38.2,52,8.2,864,645,33.77
Virudhunagar,Tomato,Normal,30.3,63,30.6,749,748,24.35
Erode,Sugarcane,Rainy,27.7,86,184.5,913,1351,3.17
Villupuram,Groundnut,Summer,34.0,56,4.6,838,664,96.57
Dharmapuri,Onion,Rainy,31.7,89,193.9,653,941,22.6
Tiruchirappalli,Onion,Light Rain,25.1,75,69.0,747,690,29.7
Kanchipuram,Bitter Gourd,Light Rain,24.3,74,53.4,299,387,25.79
Virudhunagar,Banana,Light Rain,28.5,77,65.3,713,810,25.13
Virudhunagar,Tomato,Summer,36.6,53,0.0,818,666,33.26
Dharmapuri,Okra,Summer,39.4,53,3.3,500,322,43.34
Thoothukudi,Onion,Normal,30.6,60,30.3,702,775,33.87
Tiruppur,Corn,Rainy,27.8,91,188.4,665,756,19.61
Vellore,Cabbage,Light Rain,27.6,79,69.3,611,605,19.74
Nagapattinam,Onion,Rainy,25.3,89,196.4,724,905,21.13
Vellore,Onion,Normal,32.3,63,21.1,853,648,37.31
Krishnagiri,Potato,Normal,33.6,67,36.5,738,670,36.74
Tirunelveli,Pumpkin,Light Rain,27.2,73,65.1,354,440,18.5
Tirunelveli,Pumpkin,Light Rain,29.3,74,54.6,340,386,18.88
Dindigul,Tomato,Rainy,28.7,87,186.9,624,842,17.02
Pudukottai,Okra,Rainy,29.6,87,188.7,496,632,20.08
Dindigul,Beans,Light Rain,28.5,75,69.9,543,604,29.86
Pudukottai,Groundnut,Light Rain,26.0,79,63.7,696,807,65.28
Ramanathapuram,Chilli,Light Rain,27.6,78,63.6,438,517,88.64
Thoothukudi,Cashew,Light Rain,26.1,73,69.2,532,677,117.68
Tiruvannamalai,Okra,Rainy,27.7,91,181.1,428,528,21.31
Pudukottai,Groundnut,Light Rain,28.4,70,67.6,702,765,74.15
Chennai,Onion,Rainy,26.7,85,189.4,640,931,20.83
Erode,Sugarcane,Normal,32.2,65,36.5,1220,1162,4.69
Dindigul,Cabbage,Normal,30.5,65,35.6,580,635,18.76
Dindigul,Cabbage,Normal,33.8,62,24.9,644,562,19.94
Tiruvannamalai,Mango,Normal,32.7,61,18.1,871,829,59.05
Cuddalore,Tapioca,Light Rain,23.5,74,53.8,542,643,12.3
Tirunelveli,Onion,Summer,36.7,54,0.8,794,635,45.86
Thoothukudi,Chilli,Rainy,29.9,88,187.3,331,491,77.16
Vellore,Carrot,Summer,36.6,61,10.0,535,367,51.85
Tiruppur,Rice,Light Rain,27.0,80,59.7,879,1107,43.31
Dharmapuri,Onion,Rainy,31.0,89,198.3,598,877,23.55
Nagapattinam,Tomato,Rainy,27.1,91,191.0,666,898,17.61
Virudhunagar,Banana,Normal,30.5,69,26.2,774,729,27.26
Namakkal,Coconut,Rainy,28.0,85,182.3,682,1053,11.79
Erode,Okra,Rainy,27.1,91,195.1,399,626,19.98
Pudukottai,Tapioca,Rainy,27.0,84,190.8,606,632,9.61
Cuddalore,Okra,Normal,27.4,69,30.6,509,391,31.46
Thiruvarur,Snake Gourd,Light Rain,26.4,70,54.0,366,272,26.3
Dindigul,Rice,Summer,37.8,58,9.5,1021,913,65.38
Namakkal,Groundnut,Summer,35.8,59,0.0,889,621,106.13
Nagapattinam,Drumstick,Light Rain,25.8,73,55.6,381,478,42.31
Dharmapuri,Drumstick,Light Rain,27.9,76,67.3,441,480,41.51
Krishnagiri,Cauliflower,Summer,38.7,53,7.3,568,520,37.78
Tiruvannamalai,Tomato,Normal,33.3,61,36.0,759,779,23.26
Tirunelveli,Cashew,Light Rain,26.7,79,57.5,652,649,123.26
Virudhunagar,Chilli,Rainy,30.4,92,198.3,467,566,83.96
Madurai,Onion,Summer,40.4,60,13.7,934,587,47.55
Chennai,Bitter Gourd,Normal,28.8,68,32.8,345,424,31.56
Ramanathapuram,Chilli,Rainy,28.1,86,190.3,463,479,76.59
Thiruvarur,Beans,Rainy,25.9,89,197.6,406,683,26.38
Salem,Mango,Rainy,26.9,89,198.7,798,936,43.52
Tirunelveli,Tomato,Light Rain,26.5,76,56.1,706,724,21.02
Tiruvannamalai,Corn,Light Rain,29.0,74,55.2,676,739,21.06
Dharmapuri,Carrot,Normal,31.4,65,29.3,547,421,43.28
Thiruvarur,Snake Gourd,Summer,34.2,54,0.0,356,238,36.02
Dindigul,Carrot,Normal,32.1,65,24.4,563,413,45.14
Krishnagiri,Potato,Light Rain,28.7,71,62.8,724,612,31.78
Ramanathapuram,Tapioca,Light Rain,26.0,73,71.5,650,589,12.14
Vellore,Mango,Summer,36.2,59,8.9,997,694,75.3
Kanchipuram,Tapioca,Summer,36.3,60,0.0,711,502,17.61
Nagapattinam,Rice,Normal,28.3,62,37.0,989,906,52.09
Sivaganga,Onion,Rainy,26.1,93,198.6,623,886,21.72
Thanjavur,Bitter Gourd,Normal,29.0,67,19.5,362,281,35.06
Pudukottai,Tomato,Normal,30.3,66,22.8,724,749,25.9
Dindigul,Potato,Summer,39.4,57,8.8,821,586,46.42
Dharmapuri,Okra,Summer,38.4,55,6.4,507,320,45.6
Madurai,Bitter Gourd,Summer,40.8,56,0.0,496,377,41.99
Tiruvannamalai,Corn,Light Rain,29.0,70,66.5,733,723,22.97
Pudukottai,Banana,Normal,31.7,65,34.4,860,784,28.88
Thiruvarur,Banana,Light Rain,26.9,74,53.7,814,897,24.57
Sivaganga,Rice,Light Rain,26.1,71,58.3,958,1023,43.33
Tiruvannamalai,Tomato,Light Rain,27.5,71,63.8,711,826,21.69
Dindigul,Cabbage,Rainy,29.0,94,190.7,495,722,15.19
Vellore,Cabbage,Rainy,26.4,85,182.5,474,761,14.15
Dharmapuri,Potato,Light Rain,28.6,74,53.9,571,726,28.4
Erode,Sugarcane,Rainy,30.0,87,186.7,1036,1255,3.62
Kanchipuram,Onion,Normal,32.0,68,20.8,714,692,30.44
Dharmapuri,Drumstick,Summer,40.5,58,0.0,454,286,67.0
Virudhunagar,Carrot,Rainy,30.1,85,186.3,466,593,26.52
Tiruvannamalai,Corn,Light Rain,27.0,75,70.9,692,710,21.77
Tiruchirappalli,Corn,Summer,38.8,59,9.5,769,504,34.11
Tiruppur,Tomato,Light Rain,29.5,75,58.5,720,722,21.06
Tirunelveli,Chilli,Summer,36.2,57,0.0,553,337,147.16
Tiruchirappalli,Bitter Gourd,Rainy,26.8,89,191.9,375,346,26.18
Virudhunagar,Banana,Summer,36.8,56,4.6,914,688,40.01
Dindigul,Tomato,Summer,36.6,56,13.2,843,662,31.6
Krishnagiri,Mango,Normal,33.0,64,27.8,817,912,52.46
Sivaganga,Beans,Normal,32.7,60,19.6,584,608,37.24
Tiruvannamalai,Mango,Summer,38.9,56,0.0,1013,715,74.77
Tiruchirappalli,Groundnut,Summer,37.4,57,13.4,825,616,112.94
Tiruchirappalli,Corn,Normal,29.6,59,26.3,762,625,27.17
Pudukottai,Groundnut,Summer,39.0,59,5.1,804,661,102.39
Dharmapuri,Tomato,Light Rain,28.3,71,70.5,747,728,21.24
Ramanathapuram,Okra,Rainy,28.5,88,186.2,419,512,21.21
Coimbatore,Potato,Light Rain,27.1,76,55.2,599,683,30.56
Thiruvarur,Okra,Normal,28.4,63,23.5,501,503,31.28
Dindigul,Onion,Normal,33.9,60,29.0,748,752,34.41
Dindigul,Rice,Rainy,27.6,89,192.6,836,1111,34.13
Dharmapuri,Mango,Light Rain,30.9,75,56.4,899,842,51.54
Thoothukudi,Cashew,Light Rain,26.2,79,69.7,640,642,114.12
Chennai,Tomato,Light Rain,26.2,73,59.3,731,729,21.88
Dindigul,Potato,Light Rain,27.4,75,69.0,719,676,29.75
Vellore,Mango,Normal,29.4,65,36.9,917,868,57.58
Thanjavur,Beans,Normal,31.1,67,23.8,610,538,35.71
Tiruchirappalli,Rice,Summer,37.8,59,0.0,1159,851,70.9
Thiruvarur,Snake Gourd,Rainy,25.0,90,189.1,271,357,17.76
Virudhunagar,Chilli,Light Rain,27.3,79,69.4,520,445,106.18
Kanchipuram,Beans,Light Rain,26.0,75,56.7,529,595,30.42
Dindigul,Mango,Light Rain,29.4,78,53.6,811,819,55.58
Cuddalore,Onion,Normal,30.1,69,29.9,771,730,30.44
Madurai,Mango,Summer,40.5,61,7.5,977,682,77.92
Erode,Rice,Normal,31.9,69,28.4,1002,1042,45.07
Tiruchirappalli,Beans,Rainy,29.1,87,196.5,458,631,26.81
Thoothukudi,Pumpkin,Rainy,28.1,86,183.7,403,503,14.01
Ramanathapuram,Tapioca,Light Rain,28.9,80,61.5,520,554,11.24
Tiruppur,Tomato,Summer,38.2,56,6.2,918,577,36.99
Virudhunagar,Onion,Rainy,29.6,93,186.7,608,801,21.34
Tiruppur,Coconut,Rainy,29.1,94,197.0,676,949,11.9
Madurai,Okra,Light Rain,30.7,75,70.0,498,501,27.4
Thanjavur,Bitter Gourd,Summer,37.0,54,12.7,457,234,50.09
Tiruppur,Sugarcane,Rainy,28.2,91,190.7,1037,1350,3.41
Virudhunagar,Onion,Rainy,30.9,86,190.4,703,864,22.23
Sivaganga,Rice,Rainy,28.4,88,187.7,811,1175,32.99
Kanchipuram,Cauliflower,Summer,36.3,55,4.7,583,363,39.54
Chennai,Cabbage,Rainy,25.2,86,186.4,532,632,15.24
Cuddalore,Okra,Normal,30.6,68,22.2,454,466,29.69
Coimbatore,Corn,Normal,31.6,59,37.2,768,747,24.72
Thanjavur,Bitter Gourd,Rainy,26.5,85,180.2,329,399,21.4
Thanjavur,Onion,Light Rain,25.5,72,66.1,782,836,28.05
Dindigul,Beans,Rainy,27.7,90,192.2,508,576,26.36
Thiruvarur,Sugarcane,Rainy,27.0,93,199.2,1012,1372,3.4
Villupuram,Pumpkin,Summer,34.0,54,6.4,499,346,28.88
Tiruvannamalai,Cauliflower,Normal,31.4,61,19.3,484,476,29.09
Tirunelveli,Pumpkin,Rainy,29.3,86,192.8,429,467,15.59
Cuddalore,Banana,Rainy,27.8,92,190.4,766,1025,19.65
Tiruppur,Rice,Normal,32.1,60,18.2,1016,1031,49.7
Kanchipuram,Rice,Rainy,27.5,86,185.9,820,1122,32.0
Madurai,Mango,Summer,37.9,60,9.3,938,707,72.17
Virudhunagar,Chilli,Light Rain,29.7,71,56.8,416,552,90.29
Coimbatore,Cauliflower,Normal,31.1,66,36.7,475,497,29.25
Nagapattinam,Tapioca,Light Rain,24.3,70,65.1,543,665,12.38
Kanchipuram,Okra,Summer,36.1,60,4.5,500,357,40.1
Erode,Sugarcane,Normal,31.0,62,23.3,1163,1094,4.62
Vellore,Okra,Rainy,27.9,94,190.8,498,634,19.72
Kanchipuram,Cauliflower,Normal,28.8,67,20.3,500,443,31.52
Chennai,Tomato,Normal,28.9,65,21.5,880,807,25.97
Ramanathapuram,Pumpkin,Normal,32.3,60,37.8,399,375,21.83
Pudukottai,Tapioca,Summer,37.6,53,3.4,742,472,19.61
Villupuram,Rice,Normal,29.1,68,34.2,1007,928,51.22
Thiruvarur,Rice,Normal,28.6,66,23.4,967,948,51.58
Tiruchirappalli,Corn,Summer,38.3,57,4.1,736,497,37.63
Erode,Sugarcane,Light Rain,28.9,71,66.8,1169,1093,4.61
Tirunelveli,Pumpkin,Light Rain,29.9,78,71.5,446,440,18.79
Kanchipuram,Coconut,Light Rain,26.8,70,69.0,831,802,16.08
Kanchipuram,Beans,Rainy,25.6,86,191.9,490,596,27.51
Virudhunagar,Cauliflower,Summer,37.0,54,0.0,664,499,41.2
Thiruvarur,Okra,Rainy,24.0,94,192.0,409,498,19.77
Sivaganga,Rice,Summer,35.3,52,0.0,1066,870,64.25
Tiruppur,Beans,Rainy,30.3,94,184.4,439,569,27.22
Kanchipuram,Coconut,Rainy,25.1,86,186.4,704,1008,13.52
Ramanathapuram,Onion,Rainy,30.2,85,184.4,632,799,23.21
Thanjavur,Drumstick,Light Rain,26.9,72,64.5,484,470,43.94
Thoothukudi,Banana,Normal,33.6,62,31.7,754,781,27.9
Sivaganga,Banana,Summer,37.3,60,0.0,885,758,38.49
Kanchipuram,Okra,Rainy,27.3,87,197.9,487,545,20.78
Vellore,Rice,Rainy,28.5,92,185.5,777,1218,34.57
Tiruppur,Corn,Light Rain,29.8,74,53.1,742,725,24.61
Salem,Beans,Normal,30.0,60,26.4,548,569,37.02
Coimbatore,Cabbage,Light Rain,26.1,72,64.0,499,627,16.89
Villupuram,Beans,Light Rain,26.8,73,53.9,551,561,33.43
Tiruvannamalai,Corn,Rainy,29.1,91,189.4,565,748,16.95
Tiruppur,Onion,Rainy,27.9,86,183.4,733,898,22.76
Sivaganga,Tomato,Summer,37.5,52,1.7,812,615,36.87
Kanchipuram,Tapioca,Normal,31.1,63,36.5,657,511,13.8
Virudhunagar,Potato,Rainy,27.7,84,189.6,533,794,21.99
Ramanathapuram,Chilli,Normal,33.0,61,27.8,453,396,107.45
Dharmapuri,Potato,Rainy,28.0,87,192.6,587,759,22.38
Namakkal,Rice,Rainy,26.9,94,186.4,925,1164,35.08
Coimbatore,Beans,Light Rain,28.0,75,68.8,522,523,32.61
Thiruvarur,Drumstick,Light Rain,26.0,78,59.7,376,444,41.36
Dharmapuri,Rice,Rainy,29.2,93,187.5,852,1174,35.77
Kanchipuram,Tapioca,Light Rain,25.6,79,58.7,639,596,12.41
Tiruchirappalli,Okra,Rainy,27.7,87,191.6,452,641,20.99
Sivaganga,Rice,Rainy,29.6,89,196.3,855,1195,33.63
Tiruvannamalai,Tapioca,Normal,33.8,67,37.4,556,657,12.64
Thiruvarur,Snake Gourd,Light Rain,24.2,77,59.8,262,335,20.19
Cuddalore,Beans,Rainy,24.4,87,196.4,458,575,27.53
Tiruppur,Rice,Light Rain,29.9,74,53.9,983,1030,40.82
Tirunelveli,Tapioca,Rainy,30.8,87,192.4,451,657,9.9
Thoothukudi,Cashew,Light Rain,29.4,75,61.3,641,667,111.41
Tiruchirappalli,Onion,Rainy,27.6,85,195.1,639,805,23.98
Tirunelveli,Tapioca,Rainy,31.0,88,198.3,537,720,8.93
Villupuram,Corn,Summer,34.3,61,0.0,784,576,35.85
Namakkal,Groundnut,Normal,29.0,69,24.9,740,767,83.18
Tiruchirappalli,Rice,Summer,35.4,58,0.0,1112,825,67.43
Namakkal,Rice,Normal,29.6,60,27.5,932,954,51.13
Dindigul,Tomato,Rainy,29.6,91,195.7,609,965,17.9
Ramanathapuram,Tapioca,Rainy,27.4,84,194.7,493,739,9.62
Chennai,Bitter Gourd,Normal,31.0,61,37.8,403,333,35.6
Salem,Drumstick,Light Rain,26.1,77,61.1,414,425,40.34
Thoothukudi,Tomato,Normal,33.2,66,25.7,818,725,26.56
Nagapattinam,Banana,Rainy,25.9,85,183.0,716,1023,21.44
Thanjavur,Drumstick,Rainy,25.2,89,194.0,331,471,32.52
Sivaganga,Chilli,Light Rain,27.6,71,54.1,515,491,103.18
Dharmapuri,Mango,Normal,31.4,60,34.7,931,852,57.08
Thoothukudi,Tapioca,Light Rain,26.9,77,58.1,516,619,12.05
Tiruchirappalli,Drumstick,Light Rain,27.8,80,65.5,426,486,41.74
Virudhunagar,Banana,Light Rain,29.8,71,61.7,853,838,26.42
Tiruvannamalai,Onion,Light Rain,26.0,79,68.6,792,785,30.17
Tiruchirappalli,Bitter Gourd,Summer,37.5,57,2.8,457,276,48.44
Salem,Rice,Summer,37.8,61,2.9,1145,907,62.75
Tirunelveli,Tomato,Summer,38.0,62,2.3,855,603,34.68
Erode,Turmeric,Summer,36.2,60,11.5,756,561,125.53
Thanjavur,Tapioca,Summer,37.0,62,9.1,713,480,20.9
Tirunelveli,Onion,Summer,36.6,52,0.0,861,628,42.23
Tirunelveli,Cashew,Light Rain,28.5,76,71.0,552,618,112.99
Ramanathapuram,Bitter Gourd,Summer,37.2,56,11.4,404,245,47.05
Kanchipuram,Okra,Summer,37.2,61,6.3,499,424,37.28
Thanjavur,Drumstick,Normal,30.9,59,33.4,372,480,44.86
Cuddalore,Rice,Normal,27.8,68,28.2,952,1005,46.9
Cuddalore,Snake Gourd,Normal,27.6,65,29.6,301,394,22.15
Tirunelveli,Chilli,Light Rain,26.1,72,57.5,533,468,107.09
Coimbatore,Rice,Summer,37.4,60,5.6,1104,824,68.86
Erode,Sugarcane,Rainy,29.3,85,193.7,957,1348,3.25
Namakkal,Okra,Normal,31.8,67,26.8,525,406,31.39
Dharmapuri,Potato,Rainy,31.4,90,186.6,557,857,21.25
Villupuram,Tomato,Summer,36.7,52,11.8,835,690,33.18
Sivaganga,Banana,Summer,35.6,56,6.0,981,727,41.99
Nagapattinam,Okra,Rainy,27.7,93,180.1,466,550,21.77
Tiruppur,Banana,Summer,38.5,54,11.5,936,640,39.93
Tiruchirappalli,Tomato,Summer,36.1,58,0.3,946,709,34.91
Ramanathapuram,Chilli,Rainy,30.1,89,181.3,415,470,83.71
Salem,Beans,Rainy,27.8,87,187.8,461,700,26.07
Madurai,Chilli,Rainy,29.4,84,183.7,426,540,79.92
Vellore,Okra,Normal,31.8,59,31.9,571,535,29.36
Tiruvannamalai,Cauliflower,Light Rain,27.5,72,52.2,577,597,24.39
Krishnagiri,Beans,Summer,38.8,57,0.1,550,462,48.65
Erode,Beans,Rainy,27.8,93,182.0,431,565,25.51
Ramanathapuram,Okra,Summer,37.6,61,0.0,480,329,40.07
Tiruppur,Tomato,Rainy,27.7,93,185.9,727,872,16.93
Tiruchirappalli,Banana,Rainy,29.7,86,189.2,626,965,19.03
Krishnagiri,Onion,Normal,32.7,68,19.8,860,732,32.82
Cuddalore,Onion,Light Rain,23.0,75,56.3,670,684,27.92
Dindigul,Potato,Normal,31.3,61,35.7,732,630,35.46
Thoothukudi,Banana,Rainy,31.0,92,199.9,710,927,19.82
Dindigul,Cauliflower,Summer,38.9,57,8.9,553,367,42.72
Nagapattinam,Tapioca,Rainy,24.1,85,182.3,518,772,9.43
Dharmapuri,Banana,Summer,40.3,60,0.0,978,681,42.56
Chennai,Okra,Light Rain,27.1,71,67.2,525,505,25.58
Thoothukudi,Onion,Light Rain,28.7,77,56.9,722,791,26.47
Kanchipuram,Onion,Rainy,25.4,85,184.8,589,889,23.2
Villupuram,Groundnut,Rainy,27.8,90,198.9,679,802,52.24
Krishnagiri,Carrot,Normal,33.3,65,23.2,557,516,41.01
Kanchipuram,Onion,Light Rain,25.5,74,58.5,811,749,30.88
Tiruppur,Okra,Normal,33.9,60,24.7,578,458,31.41
Virudhunagar,Banana,Light Rain,28.4,80,53.2,802,783,26.13
Krishnagiri,Beans,Light Rain,29.9,72,61.3,486,551,32.1
Tirunelveli,Banana,Summer,38.2,54,5.8,920,613,37.73
Coimbatore,Potato,Summer,39.0,62,4.2,749,563,47.65
Tiruppur,Cauliflower,Summer,39.5,60,1.4,595,515,34.93
Dindigul,Potato,Summer,36.8,54,0.0,811,518,49.66
Erode,Turmeric,Summer,36.0,57,0.4,794,485,135.77
Tiruvannamalai,Mango,Normal,33.7,68,20.4,841,917,59.68
Tirunelveli,Pumpkin,Normal,31.4,64,23.5,428,310,20.99
Madurai,Okra,Light Rain,28.2,74,71.3,515,506,26.95
Tirunelveli,Ash Gourd,Normal,32.5,67,22.3,383,255,18.9
Madurai,Tomato,Light Rain,28.9,77,57.4,801,801,22.68
Cuddalore,Onion,Light Rain,24.1,80,59.6,685,712,30.66
Pudukottai,Onion,Summer,36.8,61,0.0,916,659,41.49
Pudukottai,Rice,Normal,31.5,66,29.8,1066,963,49.94
Namakkal,Drumstick,Normal,32.4,61,24.2,422,429,47.22
Nagapattinam,Banana,Light Rain,25.6,75,58.3,818,835,27.51
Madurai,Onion,Light Rain,28.1,70,59.8,678,788,27.68
Vellore,Beans,Light Rain,25.2,70,66.6,471,529,31.88
Madurai,Tomato,Light Rain,27.7,72,53.0,790,755,23.09
Virudhunagar,Tomato,Summer,39.7,54,3.8,823,609,33.88
Dindigul,Mango,Normal,31.6,69,20.3,928,852,61.24
Vellore,Onion,Summer,37.6,54,0.0,803,649,41.71
Tiruvannamalai,Tapioca,Rainy,30.3,87,194.0,521,665,9.22
Thanjavur,Sugarcane,Normal,29.8,64,35.6,1227,1037,4.96
Virudhunagar,Rice,Summer,39.7,61,0.0,1059,799,70.33
Thoothukudi,Okra,Normal,30.0,59,23.1,553,544,30.72
Salem,Mango,Summer,38.7,60,0.0,936,684,80.07
Krishnagiri,Cabbage,Rainy,28.2,94,199.0,496,646,15.19
Dharmapuri,Rice,Rainy,30.9,89,184.8,808,1214,34.98
Cuddalore,Tomato,Light Rain,25.0,79,66.7,801,846,21.39
Krishnagiri,Potato,Rainy,28.1,94,196.6,568,712,22.61
Villupuram,Rice,Rainy,26.0,86,189.3,770,1202,34.02
Pudukottai,Okra,Rainy,26.5,88,198.5,457,630,21.46
Sivaganga,Banana,Light Rain,25.1,76,58.7,784,893,23.36
Salem,Onion,Summer,35.6,55,10.4,926,649,43.92
Tiruppur,Banana,Normal,33.2,67,34.1,849,863,29.18
Ramanathapuram,Chilli,Light Rain,26.4,70,68.0,536,423,105.29
Dharmapuri,Mango,Normal,34.5,60,21.2,952,909,58.47
Chennai,Rice,Rainy,27.8,86,186.8,861,1193,31.41
Thiruvarur,Onion,Summer,35.5,54,0.0,859,659,41.61
Sivaganga,Onion,Normal,29.2,62,23.5,764,752,32.03
Chennai,Brinjal,Rainy,25.9,85,193.3,476,651,15.94
Tiruppur,Okra,Normal,32.7,68,32.3,573,414,35.52
Tiruchirappalli,Groundnut,Summer,36.0,60,2.4,757,622,107.68
Tiruchirappalli,Groundnut,Summer,38.2,52,3.4,870,686,101.03
Virudhunagar,Rice,Normal,31.9,62,23.6,996,942,46.3
Dharmapuri,Beans,Light Rain,29.1,76,69.0,603,491,35.11
Thoothukudi,Cashew,Rainy,29.4,87,182.5,506,674,93.67
Kanchipuram,Beans,Summer,34.5,59,12.3,565,405,50.71
Pudukottai,Bitter Gourd,Normal,30.2,59,35.7,303,281,33.25
Dharmapuri,Okra,Normal,33.4,60,26.9,420,522,28.47
Erode,Corn,Light Rain,26.9,70,52.3,686,737,21.87
Coimbatore,Onion,Summer,38.1,62,4.1,818,570,44.77
Ramanathapuram,Tapioca,Rainy,30.7,88,190.1,551,661,10.66
Kanchipuram,Beans,Light Rain,26.4,80,57.8,591,484,34.2
Tiruchirappalli,Groundnut,Summer,35.4,56,0.0,866,607,101.44
Erode,Sugarcane,Summer,39.8,53,0.0,1322,861,7.24
Thiruvarur,Banana,Light Rain,24.4,72,53.9,818,904,25.81
Virudhunagar,Banana,Normal,31.0,59,30.1,875,835,28.15
Virudhunagar,Banana,Rainy,30.4,89,188.1,627,893,19.77
Cuddalore,Snake Gourd,Rainy,24.7,91,196.2,316,383,18.76
Madurai,Mango,Summer,37.9,56,2.0,938,643,77.96
Salem,Onion,Rainy,26.8,91,182.3,688,843,24.73
Erode,Chilli,Normal,33.4,66,28.3,515,430,117.7
Vellore,Onion,Summer,36.3,55,3.1,871,592,43.7
Tiruppur,Rice,Light Rain,27.2,74,59.2,1015,961,47.32
Tirunelveli,Snake Gourd,Normal,31.4,68,35.7,440,272,27.22
Dharmapuri,Beans,Rainy,31.7,88,196.7,484,628,27.31
Salem,Okra,Light Rain,25.5,71,64.5,481,565,26.78
Cuddalore,Banana,Rainy,26.6,91,189.4,722,1023,18.65
Villupuram,Beans,Rainy,27.0,91,198.3,486,622,27.01
Vellore,Beans,Rainy,26.4,85,197.4,398,693,23.9
Dharmapuri,Rice,Summer,39.5,53,11.3,1060,767,63.02
Chennai,Bitter Gourd,Normal,29.5,67,29.1,385,359,34.59
Dharmapuri,Banana,Light Rain,30.1,77,59.2,730,805,25.79
Thoothukudi,Okra,Rainy,29.1,84,191.6,371,484,22.68
Nagapattinam,Rice,Light Rain,24.4,79,53.9,960,977,41.57
Tirunelveli,Tapioca,Summer,37.7,54,10.6,740,577,17.18
Tirunelveli,Cashew,Normal,32.4,67,35.1,572,657,133.58
Thiruvarur,Tapioca,Normal,27.9,66,22.3,658,597,14.36
Sivaganga,Bitter Gourd,Light Rain,25.9,80,54.2,316,335,27.02
Chennai,Cabbage,Summer,37.2,54,0.0,677,424,29.24
Tiruvannamalai,Groundnut,Light Rain,30.0,74,65.7,770,702,73.9
Dindigul,Cabbage,Light Rain,29.6,72,60.0,626,565,17.92
Dindigul,Rice,Summer,39.0,59,5.2,1062,782,65.45
Tiruppur,Coconut,Summer,36.6,60,6.0,885,725,26.03
Salem,Beans,Rainy,28.1,87,185.0,402,692,25.31
Sivaganga,Okra,Normal,32.7,66,21.2,579,442,32.77
Coimbatore,Rice,Rainy,27.9,92,195.8,846,1210,35.56
Krishnagiri,Beans,Normal,32.4,63,30.4,586,520,39.83
Krishnagiri,Groundnut,Summer,39.8,61,8.8,860,580,112.25
Dindigul,Tomato,Light Rain,27.6,80,57.2,716,854,21.6
Dindigul,Cauliflower,Summer,37.7,62,13.1,559,464,38.17
Thanjavur,Tapioca,Summer,36.3,53,13.6,751,465,19.58
Sivaganga,Bitter Gourd,Rainy,26.3,84,188.1,297,464,20.76
Tiruvannamalai,Groundnut,Light Rain,26.8,71,61.5,704,726,65.23
Thoothukudi,Banana,Light Rain,26.2,70,67.3,727,910,23.31
Chennai,Beans,Summer,36.4,53,9.9,574,484,46.56
Thiruvarur,Drumstick,Light Rain,23.0,78,69.1,475,389,41.21
Chennai,Cabbage,Light Rain,25.7,76,62.5,554,531,18.74
Vellore,Tomato,Summer,39.0,62,0.0,862,577,34.23
